timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1620538342865,41306,HTTP Request,200,,Thread Group 1-125,text,true,,228,215,145,145,http://34.69.50.56/yelpdata/elite/2010,41306,0,62
1620538343295,40876,HTTP Request,200,,Thread Group 1-339,text,true,,228,215,145,145,http://34.69.50.56/yelpdata/elite/2010,40876,0,62
1620538343049,41122,HTTP Request,200,,Thread Group 1-216,text,true,,228,215,145,145,http://34.69.50.56/yelpdata/elite/2010,41122,0,54
1620538342713,41458,HTTP Request,200,,Thread Group 1-48,text,true,,228,215,145,145,http://34.69.50.56/yelpdata/elite/2010,41458,0,70
1620538342649,41567,HTTP Request,200,,Thread Group 1-17,text,true,,228,215,141,141,http://34.69.50.56/yelpdata/elite/2010,41567,0,65
1620538342702,42082,HTTP Request,200,,Thread Group 1-42,text,true,,228,215,140,140,http://34.69.50.56/yelpdata/elite/2010,42082,0,59
1620538342966,41818,HTTP Request,200,,Thread Group 1-174,text,true,,228,215,140,140,http://34.69.50.56/yelpdata/elite/2010,41818,0,56
1620538342871,41913,HTTP Request,200,,Thread Group 1-128,text,true,,228,215,140,140,http://34.69.50.56/yelpdata/elite/2010,41913,0,56
1620538342893,41891,HTTP Request,200,,Thread Group 1-137,text,true,,228,215,140,140,http://34.69.50.56/yelpdata/elite/2010,41891,0,55
1620538343233,41551,HTTP Request,200,,Thread Group 1-307,text,true,,228,215,140,140,http://34.69.50.56/yelpdata/elite/2010,41551,0,60
1620538342942,41842,HTTP Request,200,,Thread Group 1-163,text,true,,228,215,140,140,http://34.69.50.56/yelpdata/elite/2010,41842,0,60
1620538342675,42109,HTTP Request,200,,Thread Group 1-29,text,true,,228,215,140,140,http://34.69.50.56/yelpdata/elite/2010,42109,0,66
1620538343390,41394,HTTP Request,200,,Thread Group 1-386,text,true,,228,215,140,140,http://34.69.50.56/yelpdata/elite/2010,41394,0,64
1620538342696,42094,HTTP Request,200,,Thread Group 1-39,text,true,,228,215,132,132,http://34.69.50.56/yelpdata/elite/2010,42088,0,65
1620538343283,41507,HTTP Request,200,,Thread Group 1-333,text,true,,228,215,132,132,http://34.69.50.56/yelpdata/elite/2010,41507,0,57
1620538342781,42009,HTTP Request,200,,Thread Group 1-81,text,true,,228,215,132,132,http://34.69.50.56/yelpdata/elite/2010,42009,0,60
1620538342761,42029,HTTP Request,200,,Thread Group 1-72,text,true,,228,215,132,132,http://34.69.50.56/yelpdata/elite/2010,42029,0,61
1620538342865,41925,HTTP Request,200,,Thread Group 1-124,text,true,,228,215,132,132,http://34.69.50.56/yelpdata/elite/2010,41925,0,61
1620538342729,42061,HTTP Request,200,,Thread Group 1-56,text,true,,228,215,132,132,http://34.69.50.56/yelpdata/elite/2010,42061,0,68
1620538342792,42233,HTTP Request,200,,Thread Group 1-88,text,true,,228,215,126,126,http://34.69.50.56/yelpdata/elite/2010,42233,0,61
1620538342912,42113,HTTP Request,200,,Thread Group 1-147,text,true,,228,215,126,126,http://34.69.50.56/yelpdata/elite/2010,42113,0,55
1620538343033,42022,HTTP Request,200,,Thread Group 1-207,text,true,,228,215,124,124,http://34.69.50.56/yelpdata/elite/2010,42022,0,59
1620538342663,42462,HTTP Request,200,,Thread Group 1-23,text,true,,228,215,123,123,http://34.69.50.56/yelpdata/elite/2010,42462,0,63
